""	"KATG_BDQ"
"Rv1295"	1
"Rv2573"	-1
"Rv3290c"	1
"Rv2589"	0
"Rv1323"	1
"Rv3535c"	1
"Rv0254c"	-1
"Rv3280"	0
"Rv0904c"	-1
"Rv3281"	-1
"Rv3441c"	0
"Rv1302"	0
"Rv1654"	0
"Rv2747"	0
"Rv1653"	1
"Rv0409"	1
"Rv1820"	0
"Rv3509c"	0
"Rv3002c"	-1
"Rv3003c"	0
"Rv3470c"	0
"Rv2922A"	-1
"Rv1475c"	1
"Rv1655"	1
"Rv3310"	-1
"Rv2523c"	0
"Rv3667"	0
"Rv3313c"	-1
"Rv0812"	0
"Rv2236c"	-1
"Rv1005c"	0
"Rv0013"	0
"Rv0255c"	0
"Rv2848c"	1
"Rv0733"	-1
"Rv1625c"	0
"Rv2212"	0
"Rv1900c"	0
"Rv1264"	0
"Rv1320c"	0
"Rv1318c"	0
"Rv1319c"	0
"Rv3377c"	0
"Rv2435c"	-1
"Rv1647"	0
"Rv1120c"	-1
"Rv2202c"	1
"Rv2208"	0
"Rv2584c"	0
"Rv1285"	1
"Rv1286"	1
"Rv0777"	0
"Rv0357c"	-1
"Rv3795"	0
"Rv3794"	0
"Rv3792"	-1
"Rv3332"	-1
"Rv2182c"	0
"Rv2483c"	1
"Rv1652"	0
"Rv3248c"	1
"Rv0091"	-1
"Rv0423c"	1
"Rv0957"	0
"Rv3276c"	0
"Rv3257c"	1
"Rv3275c"	-1
"Rv2215"	1
"Rv3330"	-1
"Rv2981c"	0
"Rv2780"	1
"Rv3423c"	0
"Rv2259"	0
"Rv1895"	0
"Rv3045"	0
"Rv2858c"	0
"Rv0458"	0
"Rv0768"	0
"Rv0147"	1
"Rv3293"	0
"Rv1568"	1
"Rv2363"	0
"Rv2467"	0
"Rv2192c"	0
"Rv1609"	0
"Rv1569"	1
"Rv0032"	0
"Rv2671"	-1
"Rv2531c"	0
"Rv1001"	0
"Rv1659"	0
"Rv1658"	0
"Rv2320c"	0
"Rv3708c"	0
"Rv1538c"	-1
"Rv2201"	0
"Rv0346c"	0
"Rv2127"	0
"Rv3601c"	-1
"Rv1380"	0
"Rv3709c"	1
"Rv1595"	1
"Rv3565"	0
"Rv0337c"	1
"Rv2121c"	-1
"Rv1310"	1
"Rv1305"	0
"Rv1308"	1
"Rv1309"	1
"Rv1306"	1
"Rv1307"	1
"Rv1304"	1
"Rv1311"	0
"Rv3279c"	-1
"Rv0522"	0
"Rv0223c"	0
"Rv1589"	1
"Rv0107c"	0
"Rv1908c"	-1
"Rv1607"	0
"Rv2849c"	0
"Rv1383"	0
"Rv1384"	1
"Rv2289"	-1
"Rv1011"	-1
"Rv2612c"	-1
"Rv3759c"	0
"Rv3756c"	-1
"Rv3758c"	0
"Rv3757c"	-1
"Rv1885c"	-1
"Rv0948c"	-1
"Rv2540c"	1
"Rv2949c"	-1
"Rv2130c"	0
"Rv2498c"	1
"Rv3075c"	0
"Rv0464c"	0
"Rv0771"	-1
"Rv1239c"	0
"Rv2062c"	0
"Rv0375c"	-1
"Rv0373c"	0
"Rv0374c"	-1
"Rv2066"	0
"Rv2071c"	-1
"Rv2072c"	-1
