""	"WT"
"Rv1295"	1
"Rv2573"	-1
"Rv3290c"	0
"Rv2589"	0
"Rv1323"	1
"Rv3535c"	-1
"Rv0254c"	-1
"Rv3280"	1
"Rv0904c"	0
"Rv3281"	1
"Rv3441c"	1
"Rv1302"	0
"Rv1654"	-1
"Rv2747"	0
"Rv1653"	0
"Rv0409"	0
"Rv1820"	0
"Rv3509c"	0
"Rv3002c"	0
"Rv3003c"	1
"Rv3470c"	-1
"Rv2922A"	-1
"Rv1475c"	1
"Rv1655"	0
"Rv3310"	1
"Rv2523c"	0
"Rv3667"	0
"Rv3313c"	0
"Rv0812"	0
"Rv2236c"	-1
"Rv1005c"	0
"Rv0013"	0
"Rv0255c"	-1
"Rv2848c"	0
"Rv0733"	0
"Rv1625c"	0
"Rv2212"	0
"Rv1900c"	0
"Rv1264"	0
"Rv1320c"	1
"Rv1318c"	0
"Rv1319c"	0
"Rv3377c"	1
"Rv2435c"	0
"Rv1647"	-1
"Rv1120c"	-1
"Rv2202c"	1
"Rv2208"	0
"Rv2584c"	1
"Rv1285"	-1
"Rv1286"	0
"Rv0777"	0
"Rv0357c"	0
"Rv3795"	1
"Rv3794"	1
"Rv3792"	0
"Rv3332"	0
"Rv2182c"	0
"Rv2483c"	0
"Rv1652"	-1
"Rv3248c"	1
"Rv0091"	-1
"Rv0423c"	1
"Rv0957"	0
"Rv3276c"	0
"Rv3257c"	1
"Rv3275c"	0
"Rv2215"	1
"Rv3330"	1
"Rv2981c"	0
"Rv2780"	0
"Rv3423c"	0
"Rv2259"	0
"Rv1895"	-1
"Rv3045"	1
"Rv2858c"	0
"Rv0458"	0
"Rv0768"	-1
"Rv0147"	1
"Rv3293"	0
"Rv1568"	0
"Rv2363"	0
"Rv2467"	1
"Rv2192c"	0
"Rv1609"	0
"Rv1569"	0
"Rv0032"	0
"Rv2671"	-1
"Rv2531c"	1
"Rv1001"	0
"Rv1659"	0
"Rv1658"	0
"Rv2320c"	-1
"Rv3708c"	0
"Rv1538c"	0
"Rv2201"	0
"Rv0346c"	1
"Rv2127"	1
"Rv3601c"	0
"Rv1380"	-1
"Rv3709c"	1
"Rv1595"	1
"Rv3565"	-1
"Rv0337c"	1
"Rv2121c"	-1
"Rv1310"	1
"Rv1305"	0
"Rv1308"	1
"Rv1309"	1
"Rv1306"	1
"Rv1307"	1
"Rv1304"	0
"Rv1311"	0
"Rv3279c"	-1
"Rv0522"	0
"Rv0223c"	0
"Rv1589"	0
"Rv0107c"	1
"Rv1908c"	1
"Rv1607"	0
"Rv2849c"	-1
"Rv1383"	-1
"Rv1384"	0
"Rv2289"	1
"Rv1011"	0
"Rv2612c"	-1
"Rv3759c"	0
"Rv3756c"	0
"Rv3758c"	0
"Rv3757c"	0
"Rv1885c"	0
"Rv0948c"	0
"Rv2540c"	1
"Rv2949c"	1
"Rv2130c"	0
"Rv2498c"	0
"Rv3075c"	0
"Rv0464c"	0
"Rv0771"	-1
"Rv1239c"	-1
"Rv2062c"	1
"Rv0375c"	-1
"Rv0373c"	-1
"Rv0374c"	-1
"Rv2066"	0
"Rv2071c"	-1
"Rv2072c"	-1
"Rv2070c"	-1
