	BDQ
Rv0001	11.34932915
Rv0002	10.64202769
Rv0003	10.2431301
Rv0004	9.259372518
Rv0005	16.95545652
Rv0006	16.69974932
Rv0007	13.58865646
Rvnt01	8.319295688
Rvnt02	8.574199208
Rv0008c	7.245769693
Rv0009	9.577290758
Rv0010c	9.38132695
Rv0011c	10.48077334
Rv0012	10.43432694
Rv0013	9.469672307
Rv0014c	11.6881854
Rv0015c	11.86790924
Rv0016c	11.65633581
Rv0017c	11.10522434
Rv0018c	12.43187956
Rv0019c	11.46655048
Rv0020c	14.17991032
Rvnt03	7.487857923
Rv0021c	9.337007954
Rv0022c	5.711255548
Rv0023	8.990319135
Rv0024	8.841862462
Rv0025	8.026875875
Rv0026	10.07810939
Rv0027	8.539111143
Rv0028	9.003698404
Rv0029	9.572120272
Rv0030	7.359451437
Rv0032	8.853994815
Rv0033	3.347818142
Rv0034	4.74471651
Rv0035	8.593317321
Rv0036c	9.832238004
Rv0037c	10.62966479
Rv0038	11.03217354
Rv0039c	9.051709919
Rv0040c	9.118238513
Rv0041	12.34307923
Rv0042c	10.06972279
Rv0043c	9.657776043
Rv0044c	9.260908901
Rv0045c	11.46790377
Rv0046c	14.13660029
Rv0047c	12.37682136
Rv0048c	11.01386428
Rv0049	11.59631383
Rv0050	12.9523335
Rv0051	10.89685419
Rv0052	8.722892403
Rv0053	10.40269737
Rv0054	10.15855744
Rv0055	8.699402398
Rv0056	10.34070649
Rv0057	9.65785954
Rv0058	11.49889394
Rv0059	9.095131322
Rv0060	12.04366955
Rv0061c	12.09377736
Rv0062	8.145552581
Rv0063	8.773532501
Rv0063a	11.03878693
Rv0064	15.12552732
Rv0064A	7.954880257
Rv0065	9.153852949
Rv0066c	11.71021217
Rv0067c	8.982773426
Rv0068	7.840792001
Rv0069c	8.389081072
Rv0070c	8.443790542
Rv0071	9.291898233
Rv0072	9.563371633
Rv0073	9.406214696
Rv0074	8.686713167
Rv0075	9.195576245
Rv0076c	7.137743376
Rv0077c	9.046821447
Rv0078	7.561200385
Rv0078A	10.74146505
Rv0078B	9.844350063
Rv0079	12.54039256
Rv0080	9.4198748
Rv0081	8.548182369
Rv0082	8.998653752
Rv0083	9.940587286
Rv0084	9.649702842
Rv0085	8.770362786
Rv0086	10.04537141
Rv0087	9.073387936
Rv0088	10.10147735
Rv0089	8.886271383
Rv0090	7.362095466
Rv0091	8.344565594
Rv0092	11.53482895
Rv0093c	8.892897612
Rv0094c	10.74968565
Rv0095c	5.393108709
Rv0096	5.864566488
Rv0097	6.972713312
Rv0098	6.641076184
Rv0099	9.008229325
Rv0100	6.107115805
Rv0101	12.00358648
Rv0102	11.41923627
Rv0103c	11.66376578
Rv0104	9.455968996
Rv0105c	3.816920998
Rv0106	9.845196201
Rv0107c	12.07122163
Rv0108c	9.615092147
Rv0109	8.182055813
Rv0110	7.57507067
Rv0111	8.704878572
Rv0112	9.267289142
Rv0113	8.262542238
Rv0114	6.918727053
Rv0115	8.171451577
Rv0115a	8.028979045
Rv0116c	11.65097837
Rv0117	10.85507404
Rv0118c	13.86557807
Rv0119	11.79886502
Rv0120c	10.64272633
Rv0121c	9.55451337
Rv0122	7.952165365
Rv0123	8.824188079
Rv0124	9.115750599
Rv0125	12.66037037
Rv0126	11.96586769
Rv0127	10.90666535
Rv0128	9.892061866
Rv0129c	10.20527923
Rv0130	7.170865229
Rv0131c	10.11453718
Rv0132c	9.219615386
Rv0133	9.942201133
Rv0134	10.51680685
Rv0135c	11.16590125
Rv0136	10.38827346
Rv0137c	10.38387461
Rv0138	7.626392308
Rv0139	8.843451103
Rv0140	8.666885591
Rv0141c	10.38349733
Rv0142	9.213370233
Rv0143c	10.26012399
Rv0144	11.16488571
Rv0145	13.40653319
Rv0146	12.46326888
Rv0147	13.61975225
Rv0148	11.89575907
Rv0149	10.95996369
Rv0150c	9.373172929
Rv0151c	8.776753243
Rv0152c	8.69013705
Rv0153c	10.35882923
Rv0154c	11.76399891
Rv0155	7.322312311
Rv0156	7.401170722
Rv0157	9.437102692
Rv0157A	6.442818516
Rv0158	9.397971941
Rv0159c	9.064072776
Rv0160c	7.029330887
Rv0161	7.638267459
Rv0162c	8.356085482
Rv0163	6.524989589
Rv0164	8.684883515
Rv0165c	8.304734656
Rv0166	9.500781709
Rv0167	8.96133789
Rv0168	7.987673442
Rv0169	9.275758958
Rv0170	9.469947927
Rv0171	10.37736345
Rv0172	10.12594435
Rv0173	9.330896354
Rv0174	11.30308756
Rv0175	10.93194473
Rv0176	9.418643767
Rv0177	9.639703847
Rv0178	9.419217964
Rv0179c	9.307102534
Rv0180c	9.89473333
Rv0181c	9.822276725
Rv0182c	10.50837498
Rv0183	8.239536916
Rv0184	9.638033203
Rv0185	8.639276689
Rv0186	12.06308778
Rv0186A	9.615557675
Rv0187	9.290526546
Rv0188	12.1418978
Rv0189c	11.83706067
Rv0190	12.56376809
Rv0191	12.07887678
Rv0192	11.39020968
Rv0193c	8.534697404
Rv0194	9.134880157
Rv0195	6.457480624
Rv0196	9.490426072
Rv0197	12.64910246
Rv0198c	11.88488805
Rv0199	9.152577688
Rv0200	9.852550107
Rv0201c	11.09388784
Rv0202c	13.935998
Rv0203	9.277510991
Rv0204c	10.82820045
Rv0205	11.59527525
Rv0206c	15.79724571
Rv0207c	12.61872391
Rv0208c	9.211926261
Rv0209	11.72180437
Rv0210	11.12266009
Rv0211	16.67718738
Rv0212c	13.02557863
Rv0213c	10.92458568
Rv0214	9.432217519
Rv0215c	8.336830256
Rv0216	7.76244912
Rv0217c	7.783706204
Rv0218	8.824529084
Rv0219	6.214393619
Rv0220	11.11336627
Rv0221	9.33974622
Rv0222	7.883878296
Rv0223c	9.809047685
Rv0224c	7.565114562
Rv0225	8.112341196
Rv0226c	7.876481097
Rv0227c	9.446123158
Rv0228	8.69603171
Rv0229c	10.01474912
Rv0230c	8.906242536
Rv0231	8.316999907
Rv0232	11.05251165
Rv0233	11.33187557
Rv0234c	11.48612266
Rv0235c	8.829341447
Rv0236c	11.46098324
Rv0236A	9.686509733
Rv0237	9.07962581
Rv0238	11.5112674
Rv0239	10.65414199
Rv0240	8.800967596
Rv0241c	10.49136909
Rv0242c	11.13986472
Rv0243	13.20869447
RVnc0008	10.87469389
Rv0244c	17.57815378
Rv0245	13.62706186
Rv0246	11.03821164
Rv0247c	10.61896059
Rv0248c	12.61355016
Rv0249c	11.90958605
Rv0250c	12.55533245
Rv0251c	15.60735058
Rv0252	9.887065551
Rv0253	7.253428725
Rv0254c	8.201709844
Rv0255c	10.39427681
Rv0256c	12.73342862
Rv0257	10.46735955
Rv0258c	9.499265307
Rv0259c	7.684735387
Rv0260c	7.148599749
Rv0261c	8.225165263
Rv0262c	10.31021995
Rv0263c	9.205896752
Rv0264c	8.534919266
Rv0265c	9.939193175
Rv0266c	12.82897774
Rv0267	10.833616
Rv0268c	10.20175767
Rv0269c	9.814399342
Rv0270	13.78067299
Rv0271c	13.77307217
Rv0272c	11.87842851
Rv0273c	10.58627675
Rv0274	10.54851606
Rv0275c	13.57700685
Rv0276	12.1896714
Rv0277c	11.35695343
Rv0277A	12.78734815
Rv0278c	10.58287132
Rv0279c	12.06051447
Rv0280	13.35544507
Rv0281	12.98541714
Rv0282	17.31072862
Rv0283	16.82672804
Rv0284	17.7479689
Rv0285	12.48909738
Rv0286	14.82987106
Rv0287	12.14683063
Rv0288	13.1114823
Rv0289	15.43940649
Rv0290	15.65943024
Rv0291	15.89711124
Rv0292	13.80528738
Rv0293c	12.68171451
Rv0294	8.267935916
Rv0295c	8.936225247
Rv0296c	9.549858737
Rv0297	11.45065912
Rv0298	10.73197353
Rv0299	10.33530006
Rv0300	10.44268552
Rv0301	10.67969765
Rv0302	9.495717885
Rv0303	8.071404196
Rv0304c	9.311687118
Rv0305c	10.1883177
Rv0306	8.481393843
Rv0307c	9.640740492
Rv0308	10.27108469
Rv0309	11.55414678
Rv0310c	7.991540281
Rv0311	10.00645334
Rv0312	10.14229598
Rv0313	12.56814738
Rv0314c	11.63228134
Rv0315	10.06301301
Rv0316	9.147368924
Rv0317c	10.01477841
Rvnt04	7.076782874
Rv0318c	7.217166771
Rv0319	8.558700376
Rv0320	6.252016769
Rv0321	7.585912733
Rv0322	7.928218384
Rv0323c	8.922565201
Rv0324	9.972726663
Rv0325	6.964891426
Rv0326	8.312235397
Rv0327c	8.400434169
Rv0328	9.912135344
Rv0329c	8.637141541
Rv0330c	8.563188378
Rv0331	10.42238688
Rv0332	9.812266117
Rv0333	8.843280133
Rv0334	9.07312499
Rv0335c	8.570133359
Rv0336	12.1247736
Rv0337c	11.05901799
Rv0338c	12.85196712
Rv0339c	11.63558476
Rv0340	10.16819263
Rv0341	11.68143233
Rv0342	12.4038997
