	KATG
Rv0001	11.40746398
Rv0002	9.877603637
Rv0003	9.251897553
Rv0004	8.637549292
Rv0005	14.56681509
Rv0006	14.80380837
Rv0007	11.28616801
Rvnt01	6.460224314
Rvnt02	7.558542405
Rv0008c	7.725473645
Rv0009	12.52639551
Rv0010c	11.00449211
Rv0011c	10.25560299
Rv0012	9.627046914
Rv0013	9.328812821
Rv0014c	11.89317612
Rv0015c	11.34790984
Rv0016c	11.76371061
Rv0017c	10.94643207
Rv0018c	11.42087867
Rv0019c	10.10660979
Rv0020c	14.0301441
Rvnt03	6.249717252
Rv0021c	8.648274369
Rv0022c	4.990666633
Rv0023	8.167366884
Rv0024	8.492408634
Rv0025	8.755496306
Rv0026	9.176040282
Rv0027	8.20188516
Rv0028	8.032007476
Rv0029	9.223391894
Rv0030	6.978554715
Rv0032	8.839382741
Rv0033	6.259641876
Rv0034	5.77638446
Rv0035	10.02725888
Rv0036c	10.14887643
Rv0037c	9.268031884
Rv0038	10.76236137
Rv0039c	10.28356845
Rv0040c	12.92157683
Rv0041	11.43551647
Rv0042c	11.25304571
Rv0043c	10.56381417
Rv0044c	10.02026609
Rv0045c	8.301446741
Rv0046c	12.05494195
Rv0047c	7.876715137
Rv0048c	9.255285439
Rv0049	10.76312376
Rv0050	12.41352407
Rv0051	10.23319092
Rv0052	8.679103287
Rv0053	8.440456345
Rv0054	9.019458433
Rv0055	8.995873009
Rv0056	10.85999608
Rv0057	8.773550443
Rv0058	12.75983875
Rv0059	9.934781773
Rv0060	11.12475395
Rv0061c	11.11301908
Rv0062	9.907491992
Rv0063	10.52920897
Rv0063a	7.798340257
Rv0064	11.56183752
Rv0064A	5.686679367
Rv0065	8.068044977
Rv0066c	12.22039527
Rv0067c	7.816714424
Rv0068	7.934198238
Rv0069c	9.659140009
Rv0070c	9.117144563
Rv0071	7.765703137
Rv0072	10.40610734
Rv0073	10.93846189
Rv0074	10.53047716
Rv0075	10.14122003
Rv0076c	7.95107936
Rv0077c	7.798552155
Rv0078	7.226024798
Rv0078A	9.940794024
Rv0078B	9.627985797
Rv0079	11.93139247
Rv0080	9.461789906
Rv0081	7.474675728
Rv0082	8.27093839
Rv0083	9.079584738
Rv0084	8.846793087
Rv0085	8.021242008
Rv0086	9.126435914
Rv0087	8.474160032
Rv0088	10.54698569
Rv0089	8.514800907
Rv0090	6.165722043
Rv0091	6.132384427
Rv0092	9.774095278
Rv0093c	7.7764592
Rv0094c	7.908547521
Rv0095c	5.750738946
Rv0096	5.880064186
Rv0097	7.935101109
Rv0098	6.895953051
Rv0099	8.684800855
Rv0100	3.933848525
Rv0101	11.61785176
Rv0102	10.77933646
Rv0103c	11.10671266
Rv0104	8.659282926
Rv0105c	2.550854148
Rv0106	7.924753919
Rv0107c	12.54637853
Rv0108c	12.6300208
Rv0109	7.078947472
Rv0110	8.202226972
Rv0111	9.865851635
Rv0112	9.211740288
Rv0113	9.44653066
Rv0114	8.487674119
Rv0115	9.192422443
Rv0115a	7.265841596
Rv0116c	9.408092666
Rv0117	8.408721701
Rv0118c	11.89344506
Rv0119	9.449175747
Rv0120c	11.22147337
Rv0121c	7.549981456
Rv0122	5.56151282
Rv0123	8.514400259
Rv0124	6.63664123
Rv0125	10.90992892
Rv0126	10.65236446
Rv0127	10.42000792
Rv0128	8.889534767
Rv0129c	13.76934394
Rv0130	7.315887991
Rv0131c	9.079046459
Rv0132c	7.892233922
Rv0133	9.61413627
Rv0134	9.683110754
Rv0135c	9.128639999
Rv0136	8.445067245
Rv0137c	9.177722817
Rv0138	7.942577222
Rv0139	10.3333678
Rv0140	8.761908501
Rv0141c	9.301896411
Rv0142	9.556264285
Rv0143c	10.19578681
Rv0144	12.96939
Rv0145	13.3382076
Rv0146	10.44435438
Rv0147	11.90441175
Rv0148	10.64357737
Rv0149	10.33646009
Rv0150c	6.558849084
Rv0151c	9.03099513
Rv0152c	7.843848812
Rv0153c	10.42896789
Rv0154c	10.87062631
Rv0155	8.890532971
Rv0156	9.371598542
Rv0157	11.17159357
Rv0157A	7.196341655
Rv0158	8.565002394
Rv0159c	8.727625909
Rv0160c	5.832242593
Rv0161	8.218251176
Rv0162c	8.481778853
Rv0163	7.616285303
Rv0164	10.61238045
Rv0165c	10.33009486
Rv0166	12.92605395
Rv0167	11.88013073
