	KATG_BDQ
Rv0001	9.852219847
Rv0002	8.962010737
Rv0003	8.699044833
Rv0004	7.739359412
Rv0005	15.20901984
Rv0006	14.93040718
Rv0007	11.80870632
Rvnt01	6.032968732
Rvnt02	7.030958109
Rv0008c	6.476091117
Rv0009	8.546552851
Rv0010c	8.40055576
Rv0011c	8.981085696
Rv0012	9.739736392
Rv0013	8.548164528
Rv0014c	11.18447485
Rv0015c	11.28586187
Rv0016c	11.22570377
Rv0017c	10.54074821
Rv0018c	11.65201368
Rv0019c	10.68757263
Rv0020c	12.90442845
Rvnt03	5.597171505
Rv0021c	8.153533532
Rv0022c	5.82792223
Rv0023	7.603249707
Rv0024	7.902455358
Rv0025	7.079236464
Rv0026	9.308766347
Rv0027	8.090101144
Rv0028	8.149896369
Rv0029	8.252348291
Rv0030	5.732665321
Rv0032	8.598409814
Rv0033	3.256589252
Rv0034	4.410815794
Rv0035	8.149578319
Rv0036c	8.459208151
Rv0037c	9.613689193
Rv0038	9.687601827
Rv0039c	8.31842916
Rv0040c	9.849119081
Rv0041	11.35149174
Rv0042c	8.628140163
Rv0043c	8.654232628
Rv0044c	8.208395414
Rv0045c	10.72868688
Rv0046c	12.8396601
Rv0047c	11.40852263
Rv0048c	9.348456295
Rv0049	10.02663288
Rv0050	11.29386155
Rv0051	9.312505249
Rv0052	7.359440532
Rv0053	8.384347754
Rv0054	10.74939115
Rv0055	9.735141226
Rv0056	11.11485557
Rv0057	10.69799631
Rv0058	13.30409641
Rv0059	10.8374506
Rv0060	12.42407936
Rv0061c	10.92273701
Rv0062	8.38588958
Rv0063	8.506898419
Rv0063a	9.980040235
Rv0064	14.42016576
Rv0064A	7.472215502
Rv0065	9.072223508
Rv0066c	11.00434333
Rv0067c	7.941732358
Rv0068	7.415576494
Rv0069c	7.471736123
Rv0070c	7.683290225
Rv0071	8.102376742
Rv0072	7.548117819
Rv0073	7.703601337
Rv0074	7.545538083
Rv0075	9.358479428
Rv0076c	6.131411852
Rv0077c	8.583433615
Rv0078	7.132413594
Rv0078A	9.826245183
Rv0078B	8.417993767
Rv0079	8.78246363
Rv0080	6.797610672
Rv0081	6.041731292
Rv0082	7.077261859
Rv0083	8.384181797
Rv0084	8.149526786
Rv0085	7.227857632
Rv0086	8.246774503
Rv0087	7.478767383
Rv0088	9.292429751
Rv0089	8.5474753
Rv0090	7.91575981
Rv0091	7.446836171
Rv0092	10.25217004
Rv0093c	7.970522368
Rv0094c	12.58860397
Rv0095c	9.770647392
Rv0096	6.835658918
Rv0097	6.852950877
Rv0098	6.04480465
Rv0099	9.106605784
Rv0100	7.25765522
Rv0101	10.97577592
Rv0102	10.16790483
Rv0103c	10.43607036
Rv0104	8.123190363
Rv0105c	3.746507152
Rv0106	8.445312985
Rv0107c	11.16753172
Rv0108c	8.125077702
Rv0109	7.106004968
Rv0110	6.458696644
Rv0111	7.577998322
Rv0112	8.024940994
Rv0113	7.414679816
Rv0114	6.607858926
Rv0115	7.981660656
Rv0115a	7.094209092
Rv0116c	10.14127531
Rv0117	8.502432081
Rv0118c	11.18223588
Rv0119	9.217773639
Rv0120c	9.294462516
Rv0121c	8.130231858
Rv0122	8.21351443
Rv0123	9.071920228
Rv0124	9.10531794
Rv0125	11.28344982
Rv0126	10.70657626
Rv0127	9.484173224
Rv0128	8.348665231
Rv0129c	9.855699005
Rv0130	6.424610676
Rv0131c	9.149081735
Rv0132c	8.252643541
Rv0133	8.92527136
Rv0134	9.330963846
Rv0135c	9.82306883
Rv0136	8.972157177
Rv0137c	8.649970237
Rv0138	6.081863027
Rv0139	7.04963668
Rv0140	11.4598635
Rv0141c	12.10883386
Rv0142	11.58533822
Rv0143c	11.07045226
Rv0144	9.383096992
Rv0145	11.21800807
Rv0146	10.48550013
Rv0147	11.84384681
Rv0148	10.23382977
Rv0149	9.34290077
Rv0150c	8.216232578
Rv0151c	8.780943716
Rv0152c	8.422852771
Rv0153c	9.066813449
Rv0154c	10.22524701
Rv0155	7.535826466
Rv0156	5.851568287
Rv0157	8.157881302
Rv0157A	4.861083286
Rv0158	7.840572463
Rv0159c	8.45328451
Rv0160c	7.631278803
Rv0161	7.082612419
Rv0162c	7.5172814
Rv0163	5.162537943
Rv0164	6.436525399
Rv0165c	6.803813867
Rv0166	7.728598346
Rv0167	9.17266415
Rv0168	8.064335415
Rv0169	9.744850978
Rv0170	10.12922163
Rv0171	11.0052687
Rv0172	10.82136515
Rv0173	10.17267004
Rv0174	11.04015581
Rv0175	9.678881909
Rv0176	8.343758811
Rv0177	8.474817915
Rv0178	8.538676252
Rv0179c	9.444143355
Rv0180c	10.81810435
Rv0181c	11.6257974
Rv0182c	12.38107575
Rv0183	9.420553147
Rv0184	11.74146379
Rv0185	11.08688438
Rv0186	14.74469954
Rv0186A	12.60746011
Rv0187	8.496377465
Rv0188	12.48894748
Rv0189c	11.97500064
Rv0190	12.15455302
Rv0191	11.62700182
Rv0192	10.23631293
Rv0193c	8.623935948
Rv0194	9.448165336
Rv0195	6.60067196
Rv0196	9.33669812
Rv0197	12.66143285
Rv0198c	10.76582703
Rv0199	8.050614698
Rv0200	9.100350649
Rv0201c	9.908155213
Rv0202c	12.41807045
Rv0203	7.928665876
Rv0204c	9.397144141
Rv0205	10.01305611
Rv0206c	13.27270135
Rv0207c	10.66551199
Rv0208c	7.836101432
Rv0209	9.261982189
Rv0210	8.942402626
Rv0211	15.02540915
Rv0212c	11.79691168
Rv0213c	10.23243412
Rv0214	9.318324777
Rv0215c	8.066505026
Rv0216	7.444480646
Rv0217c	7.055558353
Rv0218	8.271362956
Rv0219	5.728573821
Rv0220	9.723676647
Rv0221	8.658472999
Rv0222	7.022655482
Rv0223c	8.787475278
Rv0224c	7.380362632
Rv0225	7.528050409
Rv0226c	7.976475224
Rv0227c	8.771734948
Rv0228	8.639028996
Rv0229c	9.027167253
Rv0230c	8.720615465
Rv0231	8.080640803
Rv0232	10.04373632
Rv0233	10.68451713
Rv0234c	10.88016938
Rv0235c	8.410604203
Rv0236c	10.92622757
Rv0236A	7.957214423
Rv0237	8.640150592
Rv0238	10.29462199
Rv0239	9.42607305
Rv0240	8.801202236
Rv0241c	10.56833145
Rv0242c	11.00732068
Rv0243	13.06433787
RVnc0008	10.99753906
Rv0244c	17.32095118
Rv0245	11.70800604
Rv0246	11.60330381
Rv0247c	11.642369
Rv0248c	13.35687106
Rv0249c	13.11263287
Rv0250c	13.44687587
Rv0251c	16.53616841
Rv0252	9.186039654
Rv0253	6.355556748
Rv0254c	7.380571553
Rv0255c	9.641757637
Rv0256c	11.69434347
Rv0257	9.779379795
Rv0258c	9.150617381
Rv0259c	7.413263499
Rv0260c	7.125635456
Rv0261c	8.240879506
Rv0262c	9.205477822
Rv0263c	7.865170683
Rv0264c	7.240666435
Rv0265c	9.222289645
Rv0266c	11.7426314
Rv0267	10.25395471
Rv0268c	9.140869053
Rv0269c	8.680874516
Rv0270	12.31770019
Rv0271c	12.96925068
Rv0272c	11.4554193
Rv0273c	10.29008443
Rv0274	10.11591651
Rv0275c	12.96199583
Rv0276	11.30167633
Rv0277c	10.9572136
Rv0277A	11.37207348
Rv0278c	10.04866011
Rv0279c	11.02381169
Rv0280	12.26789866
Rv0281	12.02952706
Rv0282	16.42925194
Rv0283	15.8525357
Rv0284	16.98465783
Rv0285	11.68306911
Rv0286	14.1244611
Rv0287	10.93086024
Rv0288	12.34971045
Rv0289	14.48212473
Rv0290	14.59420811
Rv0291	14.82580622
Rv0292	12.85361083
Rv0293c	12.40352318
Rv0294	8.681461527
Rv0295c	8.345964102
Rv0296c	8.983871592
Rv0297	10.34182757
Rv0298	9.412571522
Rv0299	9.06743357
Rv0300	9.493419863
Rv0301	10.29460934
Rv0302	9.497773503
Rv0303	8.114593973
Rv0304c	9.571973261
Rv0305c	9.805992861
Rv0306	8.064409535
Rv0307c	8.628074566
Rv0308	9.173038189
Rv0309	10.32075988
Rv0310c	7.221309351
Rv0311	9.664559692
Rv0312	10.14653018
Rv0313	11.9966208
Rv0314c	11.28821879
Rv0315	9.695205424
Rv0316	8.592094086
Rv0317c	8.535032413
Rvnt04	5.414795452
Rv0318c	6.941332703
Rv0319	7.494692504
Rv0320	5.859579486
Rv0321	6.337643323
Rv0322	7.710292504
Rv0323c	8.794297494
Rv0324	10.06627769
Rv0325	6.855412269
Rv0326	8.657599445
Rv0327c	9.263078376
Rv0328	9.254488979
Rv0329c	8.316586215
Rv0330c	8.437851824
Rv0331	10.79421928
Rv0332	9.712393677
Rv0333	8.06187532
Rv0334	8.823291918
Rv0335c	8.347747112
Rv0336	13.98875006
Rv0337c	12.79311473
Rv0338c	12.26383863
Rv0339c	11.16035309
Rv0340	9.583717344
Rv0341	13.29102614
Rv0342	13.30305185
Rv0343	12.62929313
Rv0344c	8.4354097
Rv0345	7.735167114
