	WT
Rv0001	12.9347246
Rv0002	11.08994105
Rv0003	10.60295356
Rv0004	9.578442647
Rv0005	15.34852669
Rv0006	15.44783514
Rv0007	12.44720151
Rvnt01	7.8741337
Rvnt02	8.570438102
Rv0008c	8.824496568
Rv0009	13.46750313
Rv0010c	11.90701751
Rv0011c	11.27197212
Rv0012	10.76127261
Rv0013	10.72371536
Rv0014c	12.85366267
Rv0015c	12.31350803
Rv0016c	12.4764242
Rv0017c	11.54649563
Rv0018c	12.16288418
Rv0019c	11.02077928
Rv0020c	14.59097359
Rvnt03	8.049825405
Rv0021c	10.05585646
Rv0022c	5.366431477
Rv0023	8.928513435
Rv0024	9.059749814
Rv0025	9.21724741
Rv0026	10.43137117
Rv0027	8.178342963
Rv0028	8.662908037
Rv0029	10.26459444
Rv0030	8.084763293
Rv0032	9.621087306
Rv0033	6.14400083
Rv0034	6.200657518
Rv0035	10.89917436
Rv0036c	11.01722464
Rv0037c	10.31578558
Rv0038	11.07998326
Rv0039c	10.58129016
Rv0040c	13.28039763
Rv0041	12.52190635
Rv0042c	11.71739332
Rv0043c	10.1616891
Rv0044c	9.620841115
Rv0045c	9.739584769
Rv0046c	13.17017862
Rv0047c	9.577503752
Rv0048c	10.49510349
Rv0049	11.3178467
Rv0050	13.22365219
Rv0051	11.19329086
Rv0052	9.442824413
Rv0053	11.16110681
Rv0054	11.01303572
Rv0055	10.67606569
Rv0056	12.07741762
Rv0057	10.8671942
Rv0058	13.55591326
Rv0059	10.93771209
Rv0060	12.1373778
Rv0061c	12.05381597
Rv0062	10.52319783
Rv0063	11.1349541
Rv0063a	8.441180692
Rv0064	12.25223191
Rv0064A	6.75440477
Rv0065	8.532072854
Rv0066c	11.93705964
Rv0067c	8.382504213
Rv0068	7.971294731
Rv0069c	11.00040683
Rv0070c	10.61250082
Rv0071	9.121899731
Rv0072	11.6678967
Rv0073	12.1057698
Rv0074	11.52760432
Rv0075	11.12535154
Rv0076c	9.232451571
Rv0077c	7.865665966
Rv0078	8.528410134
Rv0078A	10.73162823
Rv0078B	10.00853482
Rv0079	11.46987959
Rv0080	8.69848645
Rv0081	8.202232807
Rv0082	9.012623197
Rv0083	9.865525356
Rv0084	9.792936239
Rv0085	8.611949772
Rv0086	10.0760315
Rv0087	9.782303955
Rv0088	10.99328184
Rv0089	9.212451213
Rv0090	6.833434277
Rv0091	8.119994561
Rv0092	10.80752437
Rv0093c	8.6334869
Rv0094c	8.590282336
Rv0095c	5.966725602
Rv0096	6.141038702
Rv0097	7.840592575
Rv0098	7.155845069
Rv0099	9.10337201
Rv0100	5.00833065
Rv0101	12.2781631
Rv0102	11.5694604
Rv0103c	11.93092773
Rv0104	9.501670092
Rv0105c	3.630234162
Rv0106	9.499624354
Rv0107c	13.21058268
Rv0108c	12.68524324
Rv0109	8.092289154
Rv0110	9.336583649
Rv0111	11.62185233
Rv0112	10.79118201
Rv0113	10.11587172
Rv0114	9.281248456
Rv0115	9.915608307
Rv0115a	8.128946842
Rv0116c	10.07358964
Rv0117	9.183268562
Rv0118c	11.28781552
Rv0119	10.38976498
Rv0120c	10.73289983
Rv0121c	8.580572467
Rv0122	5.99958117
Rv0123	8.337149775
Rv0124	8.24131321
Rv0125	11.87113399
Rv0126	11.94143237
Rv0127	11.742357
Rv0128	10.61541205
Rv0129c	14.49575625
Rv0130	8.476033329
Rv0131c	9.575314791
Rv0132c	8.734380375
Rv0133	10.17096275
Rv0134	11.01736573
Rv0135c	10.69729317
Rv0136	9.284392822
Rv0137c	10.08516343
Rv0138	8.901082611
Rv0139	10.8473919
Rv0140	9.234297279
Rv0141c	9.905270073
Rv0142	9.719486207
Rv0143c	11.14314215
Rv0144	12.92012423
Rv0145	13.69708193
Rv0146	11.38034001
Rv0147	12.44436142
Rv0148	11.45662339
Rv0149	10.90348178
Rv0150c	7.753211174
Rv0151c	9.902043483
Rv0152c	9.38450497
Rv0153c	10.48879631
Rv0154c	11.3904028
Rv0155	10.17041724
Rv0156	9.935925652
Rv0157	11.92518304
Rv0157A	8.061907693
Rv0158	9.878771725
Rv0159c	10.07147068
Rv0160c	7.353072331
Rv0161	8.58853898
Rv0162c	9.176727718
Rv0163	8.658625734
Rv0164	11.59014574
Rv0165c	11.4862494
Rv0166	13.27754443
Rv0167	12.38193651
Rv0168	11.4159785
Rv0169	13.3567558
Rv0170	12.78205026
Rv0171	13.9184859
Rv0172	14.09743891
Rv0173	13.2400246
Rv0174	14.70344566
Rv0175	12.54472115
Rv0176	11.81817426
Rv0177	12.16137871
Rv0178	12.81604946
Rv0179c	13.27400643
Rv0180c	10.76132972
Rv0181c	9.814097417
Rv0182c	10.44461329
Rv0183	11.32255102
Rv0184	11.4134819
Rv0185	10.01433063
Rv0186	12.70719158
Rv0186A	10.71992314
Rv0187	10.19548648
Rv0188	10.55628476
Rv0189c	12.36608549
Rv0190	11.19762243
Rv0191	11.37664173
Rv0192	12.30621721
Rv0193c	9.31844085
Rv0194	8.801062917
Rv0195	6.167490911
Rv0196	6.334384138
Rv0197	9.4231475
Rv0198c	12.91510466
Rv0199	10.19432637
Rv0200	10.4871758
Rv0201c	10.45334799
Rv0202c	13.15318645
Rv0203	10.03313425
Rv0204c	10.98539075
Rv0205	10.17372748
Rv0206c	15.02067913
Rv0207c	12.77031006
Rv0208c	11.08246983
Rv0209	8.737575125
Rv0210	9.069470625
Rv0211	13.00909045
Rv0212c	9.936815402
Rv0213c	9.689431505
Rv0214	9.039267626
Rv0215c	9.556241671
Rv0216	8.947919209
Rv0217c	8.712343201
Rv0218	8.763326812
Rv0219	5.916026973
Rv0220	13.69979269
Rv0221	11.74768967
Rv0222	10.31376356
Rv0223c	10.20440163
Rv0224c	8.996254299
Rv0225	10.83728139
Rv0226c	10.54272157
Rv0227c	12.93897789
Rv0228	9.93648653
Rv0229c	10.87895825
Rv0230c	10.66471001
Rv0231	11.04089944
Rv0232	11.27717612
Rv0233	11.98782818
Rv0234c	11.00274555
Rv0235c	10.06532685
Rv0236c	13.29149831
Rv0236A	11.62050084
Rv0237	11.65301542
Rv0238	11.24499928
Rv0239	10.77130138
Rv0240	9.139524684
Rv0241c	11.94267365
Rv0242c	12.56959783
Rv0243	13.54719116
RVnc0008	9.339934188
Rv0244c	12.58579393
Rv0245	10.00462399
Rv0246	11.49728259
Rv0247c	12.38404372
Rv0248c	13.61887032
Rv0249c	12.10780291
Rv0250c	12.40763482
Rv0251c	9.830863802
Rv0252	9.827886686
Rv0253	7.32156442
Rv0254c	7.815098047
Rv0255c	9.425388632
Rv0256c	11.54879081
Rv0257	11.15058177
Rv0258c	8.06361769
Rv0259c	6.718696275
Rv0260c	6.5293946
Rv0261c	7.155313971
Rv0262c	9.263620876
Rv0263c	10.26362563
Rv0264c	9.416700467
Rv0265c	10.34546144
Rv0266c	11.11276146
Rv0267	11.13863589
Rv0268c	10.58845037
Rv0269c	9.621215348
Rv0270	12.777793
Rv0271c	12.06158618
Rv0272c	10.3784348
Rv0273c	9.295095321
Rv0274	9.263409262
Rv0275c	10.74656011
Rv0276	11.48498508
Rv0277c	10.39794209
Rv0277A	12.02278922
Rv0278c	8.89674281
Rv0279c	10.11613011
Rv0280	12.23577114
Rv0281	11.89104274
Rv0282	15.19228765
Rv0283	13.85979363
Rv0284	15.15218932
Rv0285	10.53201657
Rv0286	13.42734641
Rv0287	12.24693719
Rv0288	12.62093202
Rv0289	13.92572087
Rv0290	13.62742008
Rv0291	13.9701938
Rv0292	12.65029372
Rv0293c	11.63010501
Rv0294	8.894163364
Rv0295c	10.9555811
Rv0296c	10.85362945
Rv0297	11.20001972
Rv0298	11.05405512
Rv0299	10.631339
Rv0300	10.37255994
Rv0301	11.44953414
Rv0302	11.42585672
Rv0303	10.20285833
Rv0304c	10.83866231
Rv0305c	9.713673051
Rv0306	7.69191401
Rv0307c	8.313825362
Rv0308	10.3809467
Rv0309	12.37115799
Rv0310c	9.8699404
Rv0311	8.960933032
Rv0312	13.17627514
Rv0313	11.94458715
Rv0314c	12.00912941
Rv0315	12.70742412
Rv0316	11.20516155
Rv0317c	10.57926808
Rvnt04	7.916144912
Rv0318c	8.093241437
Rv0319	9.059563941
Rv0320	7.579023479
Rv0321	9.089693325
Rv0322	7.934295003
Rv0323c	8.440109713
Rv0324	7.304919217
Rv0325	4.786424848
Rv0326	6.220264274
Rv0327c	7.649089101
Rv0328	8.245715804
